Zeit von [CET/CEST],Zeit bis [CET/CEST],Wind [MW],Solar [MW],Biomasse [MW],Gas [MW],Kohle [MW],Öl [MW],Geothermie [MW],Pumpspeicher [MW],Lauf- und Schwellwasser [MW],Speicher [MW],Sonstige Erneuerbare [MW],Müll [MW],Andere [MW],date
29.08.2022 00:00:00,29.08.2022 00:15:00,54788,11700,1284,38.39999999999993,0,0,6.912000000000004,-34639.20000000002,289767.2,50830.79999999999,0,9600,2112,29.08.2022
30.08.2022 00:00:00,30.08.2022 00:15:00,24456,11908,1500,39002.40000000001,0,0,6.912000000000004,33841.2,253139.59999999998,69238.40000000001,0,9600,2112,30.08.2022
31.08.2022 00:00:00,31.08.2022 00:15:00,59708,4892,1320,46952.399999999994,0,0,6.912000000000004,7544.000000000005,242313.59999999998,63729.99999999999,0,9600,2112,31.08.2022
01.09.2022 00:00:00,01.09.2022 00:15:00,91976,7724,1228,88796.00000000003,0,0,6.912000000000004,8868.800000000005,293568.39999999997,43779.2,0,9600,2112,01.09.2022
02.09.2022 00:00:00,02.09.2022 00:15:00,22444,12648,1188,100109.60000000003,0,0,6.912000000000004,-37769.59999999999,263594.0000000001,35498.80000000001,0,9600,2112,02.09.2022
03.09.2022 00:00:00,03.09.2022 00:15:00,50528,12556,1360,48011.200000000004,0,0,6.912000000000004,-97652.39999999998,251819.20000000004,26937.600000000006,0,9600,2112,03.09.2022
04.09.2022 00:00:00,04.09.2022 00:15:00,7472,12592,1488,40238.4,0,0,6.912000000000004,-65772,262321.6,31760.8,0,9600,2112,04.09.2022
05.09.2022 00:00:00,05.09.2022 00:15:00,7140,10440,1152,118958.80000000003,0,0,6.912000000000004,58024.8,222648.00000000012,44100.40000000001,0,9600,2112,05.09.2022
06.09.2022 00:00:00,06.09.2022 00:15:00,26164,10904,1152,101236.80000000002,0,0,6.912000000000004,121411.59999999999,216463.6000000001,54390.799999999996,0,9600,2112,06.09.2022
07.09.2022 00:00:00,07.09.2022 00:15:00,9224,9472,1168,146823.59999999995,0,0,6.912000000000004,20934.399999999998,206483.2,47937.19999999999,0,9600,2112,07.09.2022
08.09.2022 00:00:00,08.09.2022 00:15:00,97328,7248,1152,120511.20000000001,0,0,6.912000000000004,47436.8,199780.80000000008,50583.60000000001,0,9600,2112,08.09.2022
09.09.2022 00:00:00,09.09.2022 00:15:00,28348,8348,1152,113552.8,0,0,6.912000000000004,38868.80000000001,188872.40000000008,35199.19999999999,0,9600,2112,09.09.2022
10.09.2022 00:00:00,10.09.2022 00:15:00,101540,10300,1232,40828,0,0,6.912000000000004,-3889.2000000000035,255996.8,46230.8,0,9600,2112,10.09.2022
11.09.2022 00:00:00,11.09.2022 00:15:00,117088,8476,1472,51001.2,0,0,6.912000000000004,-46481.599999999984,260772.79999999987,28237.199999999997,0,9600,2112,11.09.2022
